City,Cuisine,Rating
Mumbai,Dairy,99
Jakarta,Meat,55
Delhi,Vegan,69
Paris,Vegan,65
Seoul,Meat,21
Moscow,Meat,54
Mumbai,Meat,88
Tokyo,Meat,72
Manila,Meat,49
Beijing,Vegan,80
Shanghai,Meat,78
Jakarta,Vegan,74
Seoul,Vegan,87
Moscow,Vegan,75
Mumbai,Vegan,70
Tokyo,Vegan,76
Manila,Vegan,84
Shanghai,Vegan,53
Jakarta,Dairy,89
Delhi,Dairy,64
Paris,Dairy,74
Seoul,Dairy,91
Moscow,Dairy,74
Mumbai,Dairy,64
Tokyo,Dairy,57
Manila,Dairy,66
Beijing,Dairy,95
Shanghai,Dairy,68
Jakarta,Dairy,94
Seoul,Dairy,92
Moscow,Dairy,85
Tokyo,Dairy,77
Manila,Dairy,90
Shanghai,Dairy,76
Jakarta,Vegetarian,71
Delhi,Vegetarian,64
Paris,Vegetarian,74
Seoul,Vegetarian,95
Moscow,Vegetarian,100
Mumbai,Vegetarian,74
Tokyo,Vegetarian,50
Manila,Vegetarian,55
Beijing,Vegetarian,94
Shanghai,Vegetarian,91
Jakarta,Vegetarian,93
Seoul,Vegetarian,69
Moscow,Vegetarian,59
Mumbai,Vegetarian,86
Tokyo,Vegetarian,69
Manila,Vegetarian,59
Shanghai,Vegetarian,84
